Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Status
hbr-989-3-black-auto,HANBORO Clover King – Carbon Fiber Bezel & Four-Leaf Skeleton Dial Watch (Black Edition),"<p>The Hanboro Clover King is a statement of bold craftsmanship and rare elegance. Its stainless steel case with a carbon fiber textured finish is carved with a precise square diamond-blade pattern, giving the watch a commanding presence. At its core lies a four-leaf clover skeleton dial, symbolizing rarity and good fortune, with luminous strip markers ensuring clarity even in low light.

Powered by the Nishitetsu 8N24 automatic mechanical movement, the Clover King offers 21 jewels, 21,600 vibrations/hour, and a 42-hour power reserve with precision of ±5 seconds/day. The fully open-worked skeleton exhibition caseback reveals the intricate interplay of gears, celebrating mechanical artistry.

A flat diamond-knife crafted crystal mirror enhances visibility while repelling water, complementing the watch’s 50m water resistance. The timepiece is paired with a soft black rubber strap and butterfly spring clasp for modern comfort and durability.

With its 41mm x 50mm case dimensions and unique geometry, the Hanboro Clover King isn’t just a watch—it’s a bold expression of individuality designed for luxury connoisseurs who embrace originality.</p><p><strong>Movement:</strong> Japanese CITIZEN 8N24 mechanical movement
""Thickness: 5.55mm
21 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading</p><p><strong>Water Resistance:</strong> 6/50M</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-989-3-BLACK-AUTO",TRUE,Title,Default Title,HBR-989-3-BLACK-AUTO,250,shopify,10,continue,manual,42399,52999,TRUE,TRUE,HBR-989-3-BLACK-AUTO,https://hanborowatches.in/transparent/hbr-989-3-black-auto.webp,1,active
hbr-989-3-red-auto,HANBORO Clover King – Carbon Fiber Bezel & Four-Leaf Skeleton Dial Watch (Crimson Red Edition),"<p>The Hanboro Clover King is a statement of bold craftsmanship and rare elegance. Its stainless steel case with a carbon fiber textured finish is carved with a precise square diamond-blade pattern, giving the watch a commanding presence. At its core lies a four-leaf clover skeleton dial, symbolizing rarity and good fortune, with luminous strip markers ensuring clarity even in low light.

Powered by the Nishitetsu 8N24 automatic mechanical movement, the Clover King offers 21 jewels, 21,600 vibrations/hour, and a 42-hour power reserve with precision of ±5 seconds/day. The fully open-worked skeleton exhibition caseback reveals the intricate interplay of gears, celebrating mechanical artistry.

A flat diamond-knife crafted crystal mirror enhances visibility while repelling water, complementing the watch’s 50m water resistance. The timepiece is paired with a soft black rubber strap and butterfly spring clasp for modern comfort and durability.

With its 41mm x 50mm case dimensions and unique geometry, the Hanboro Clover King isn’t just a watch—it’s a bold expression of individuality designed for luxury connoisseurs who embrace originality.</p><p><strong>Movement:</strong> Japanese CITIZEN 8N24 mechanical movement
""Thickness: 5.55mm
21 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading</p><p><strong>Water Resistance:</strong> 50M (5 ATM)</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-989-3-RED-AUTO",TRUE,Title,Default Title,HBR-989-3-RED-AUTO,250,shopify,10,continue,manual,42399,52999,TRUE,TRUE,HBR-989-3-RED-AUTO,https://hanborowatches.in/transparent/clover-king-crimson.webp,1,active
hbr-989-3-green-auto,HANBORO Clover King – Carbon Fiber Bezel & Four-Leaf Skeleton Dial Watch (Emerald Green Edition),"<p>The Hanboro Clover King is a statement of bold craftsmanship and rare elegance. Its stainless steel case with a carbon fiber textured finish is carved with a precise square diamond-blade pattern, giving the watch a commanding presence. At its core lies a four-leaf clover skeleton dial, symbolizing rarity and good fortune, with luminous strip markers ensuring clarity even in low light.

Powered by the Nishitetsu 8N24 automatic mechanical movement, the Clover King offers 21 jewels, 21,600 vibrations/hour, and a 42-hour power reserve with precision of ±5 seconds/day. The fully open-worked skeleton exhibition caseback reveals the intricate interplay of gears, celebrating mechanical artistry.

A flat diamond-knife crafted crystal mirror enhances visibility while repelling water, complementing the watch’s 50m water resistance. The timepiece is paired with a soft black rubber strap and butterfly spring clasp for modern comfort and durability.

With its 41mm x 50mm case dimensions and unique geometry, the Hanboro Clover King isn’t just a watch—it’s a bold expression of individuality designed for luxury connoisseurs who embrace originality.</p><p><strong>Movement:</strong> Japanese CITIZEN 8N24 mechanical movement
""Thickness: 5.55mm
21 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading</p><p><strong>Water Resistance:</strong> 50M (5 ATM)</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-989-3-GREEN-AUTO",TRUE,Title,Default Title,HBR-989-3-GREEN-AUTO,250,shopify,10,continue,manual,42399,52999,TRUE,TRUE,HBR-989-3-GREEN-AUTO,https://hanborowatches.in/transparent/hbr-989-3-green-auto.webp,1,active
hbr-989-3-orange-auto,HANBORO Clover King – Carbon Fiber Bezel & Four-Leaf Skeleton Dial Watch (Sunset Orange Edition),"<p>The Hanboro Clover King is a statement of bold craftsmanship and rare elegance. Its stainless steel case with a carbon fiber textured finish is carved with a precise square diamond-blade pattern, giving the watch a commanding presence. At its core lies a four-leaf clover skeleton dial, symbolizing rarity and good fortune, with luminous strip markers ensuring clarity even in low light.

Powered by the Nishitetsu 8N24 automatic mechanical movement, the Clover King offers 21 jewels, 21,600 vibrations/hour, and a 42-hour power reserve with precision of ±5 seconds/day. The fully open-worked skeleton exhibition caseback reveals the intricate interplay of gears, celebrating mechanical artistry.

A flat diamond-knife crafted crystal mirror enhances visibility while repelling water, complementing the watch’s 50m water resistance. The timepiece is paired with a soft black rubber strap and butterfly spring clasp for modern comfort and durability.

With its 41mm x 50mm case dimensions and unique geometry, the Hanboro Clover King isn’t just a watch—it’s a bold expression of individuality designed for luxury connoisseurs who embrace originality.</p><p><strong>Movement:</strong> Japanese CITIZEN 8N24 mechanical movement
""Thickness: 5.55mm
21 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading</p><p><strong>Water Resistance:</strong> 5 ATM</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-989-3-ORANGE-AUTO",TRUE,Title,Default Title,HBR-989-3-ORANGE-AUTO,250,shopify,10,continue,manual,42399,52999,TRUE,TRUE,HBR-989-3-ORANGE-AUTO,https://hanborowatches.in/transparent/hbr-989-3-orange-auto.webp,1,active
hbr-989-3-white-auto,HANBORO Clover King – Carbon Fiber Bezel & Four-Leaf Skeleton Dial Watch (Pure White Edition),"<p>The Hanboro Clover King is a statement of bold craftsmanship and rare elegance. Its stainless steel case with a carbon fiber textured finish is carved with a precise square diamond-blade pattern, giving the watch a commanding presence. At its core lies a four-leaf clover skeleton dial, symbolizing rarity and good fortune, with luminous strip markers ensuring clarity even in low light.

Powered by the Nishitetsu 8N24 automatic mechanical movement, the Clover King offers 21 jewels, 21,600 vibrations/hour, and a 42-hour power reserve with precision of ±5 seconds/day. The fully open-worked skeleton exhibition caseback reveals the intricate interplay of gears, celebrating mechanical artistry.

A flat diamond-knife crafted crystal mirror enhances visibility while repelling water, complementing the watch’s 50m water resistance. The timepiece is paired with a soft black rubber strap and butterfly spring clasp for modern comfort and durability.

With its 41mm x 50mm case dimensions and unique geometry, the Hanboro Clover King isn’t just a watch—it’s a bold expression of individuality designed for luxury connoisseurs who embrace originality.</p><p><strong>Movement:</strong> Japanese CITIZEN 8N24 mechanical movement
""Thickness: 5.55mm
21 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading</p><p><strong>Water Resistance:</strong> 50M (5 ATM)</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-989-3-WHITE-AUTO",TRUE,Title,Default Title,HBR-989-3-WHITE-AUTO,250,shopify,10,continue,manual,42399,52999,TRUE,TRUE,HBR-989-3-WHITE-AUTO,https://hanborowatches.in/transparent/hbr-989-3-white-auto.webp,1,active
hbr-989-3-blue-auto,HANBORO Clover King – Carbon Fiber Bezel & Four-Leaf Skeleton Dial Watch (Ocean Blue Edition),"<p>The Hanboro Clover King is a statement of bold craftsmanship and rare elegance. Its stainless steel case with a carbon fiber textured finish is carved with a precise square diamond-blade pattern, giving the watch a commanding presence. At its core lies a four-leaf clover skeleton dial, symbolizing rarity and good fortune, with luminous strip markers ensuring clarity even in low light.

Powered by the Nishitetsu 8N24 automatic mechanical movement, the Clover King offers 21 jewels, 21,600 vibrations/hour, and a 42-hour power reserve with precision of ±5 seconds/day. The fully open-worked skeleton exhibition caseback reveals the intricate interplay of gears, celebrating mechanical artistry.

A flat diamond-knife crafted crystal mirror enhances visibility while repelling water, complementing the watch’s 50m water resistance. The timepiece is paired with a soft black rubber strap and butterfly spring clasp for modern comfort and durability.

With its 41mm x 50mm case dimensions and unique geometry, the Hanboro Clover King isn’t just a watch—it’s a bold expression of individuality designed for luxury connoisseurs who embrace originality.</p><p><strong>Movement:</strong> Japanese CITIZEN 8N24 mechanical movement
""Thickness: 5.55mm
21 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading</p><p><strong>Water Resistance:</strong> 50M (5 ATM)</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-989-3-BLUE-AUTO",TRUE,Title,Default Title,HBR-989-3-BLUE-AUTO,250,shopify,10,continue,manual,42399,52999,TRUE,TRUE,HBR-989-3-BLUE-AUTO,https://hanborowatches.in/transparent/hbr-989-3-blue-auto.webp,1,active
hbr-8851-1-silver,Hanboro Four Leaf Clover Series – Skeleton Automatic Watch (Silver Edition),"<p>Hanboro Four Leaf Clover – Skeleton Automatic

A bold expression of precision engineering and timeless design.

The Hanboro Four Leaf Clover stands apart with its twelve-sided diamond-cut bezel and a striking skeleton dial shaped like a four-leaf clover—symbolizing luck, power, and individuality. Beneath the surface, three interlocking flywheels echo the harmony of constant motion, illuminated by a soft nocturnal glow that commands attention.

Crafted with meticulous detail, its luminous structure, transparent mechanics, and robust movement redefine modern horology. This is not just a watch—it's a statement of character, confidence, and craftsmanship.</p><p><strong>Movement:</strong> Japanese Seiko NH38 mechanical movement""Thickness: 5.32mm
24 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading</p><p><strong>Water Resistance:</strong> 7/50M</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-8851-1-SILVER",TRUE,Title,Default Title,HBR-8851-1-SILVER,250,shopify,10,continue,manual,33599,41999,TRUE,TRUE,HBR-8851-1-SILVER,https://hanborowatches.in/catalog/hbr-8851-1-silver-front.png,1,active
hbr-8851-1-r-gold-silver,Hanboro Four Leaf Clover Series – Skeleton Automatic Watch (Rose Gold & Silver Edition),"<p>Hanboro Four Leaf Clover – Skeleton Automatic

A bold expression of precision engineering and timeless design.

The Hanboro Four Leaf Clover stands apart with its twelve-sided diamond-cut bezel and a striking skeleton dial shaped like a four-leaf clover—symbolizing luck, power, and individuality. Beneath the surface, three interlocking flywheels echo the harmony of constant motion, illuminated by a soft nocturnal glow that commands attention.

Crafted with meticulous detail, its luminous structure, transparent mechanics, and robust movement redefine modern horology. This is not just a watch—it's a statement of character, confidence, and craftsmanship.</p><p><strong>Movement:</strong> Japanese Seiko NH38 mechanical movement""Thickness: 5.32mm
24 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading</p><p><strong>Water Resistance:</strong> 50M</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-8851-1-R.GOLD-SILVER",TRUE,Title,Default Title,HBR-8851-1-R.GOLD-SILVER,250,shopify,10,continue,manual,33599,41999,TRUE,TRUE,HBR-8851-1-R.GOLD-SILVER,https://hanborowatches.in/catalog/hbr-8851-1-r_gold-silver-front.png,1,active
hbr-8851-1-r-gold-brown,Hanboro Four Leaf Clover Series – Skeleton Automatic Watch (Rose Gold & Saddle Brown Edition),"<p>Hanboro Four Leaf Clover – Skeleton Automatic

A bold expression of precision engineering and timeless design.

The Hanboro Four Leaf Clover stands apart with its twelve-sided diamond-cut bezel and a striking skeleton dial shaped like a four-leaf clover—symbolizing luck, power, and individuality. Beneath the surface, three interlocking flywheels echo the harmony of constant motion, illuminated by a soft nocturnal glow that commands attention.

Crafted with meticulous detail, its luminous structure, transparent mechanics, and robust movement redefine modern horology. This is not just a watch—it's a statement of character, confidence, and craftsmanship.</p><p><strong>Movement:</strong> Japanese Seiko NH38 mechanical movement""Thickness: 5.32mm
24 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading</p><p><strong>Water Resistance:</strong> 50M</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-8851-1-R.GOLD-BROWN",TRUE,Title,Default Title,HBR-8851-1-R.GOLD-BROWN,250,shopify,10,continue,manual,33599,41999,TRUE,TRUE,HBR-8851-1-R.GOLD-BROWN,https://hanborowatches.in/catalog/hbr-8851-1-r_gold-brown-front.png,1,active
hbr-985-auto-apex-rg-blk,Hanboro Apex Racer – Double Balance Wheel F1-Inspired Timepiece (Rose Gold & Jet Black),"<p>Hanboro Apex Racer – Double Balance Wheel F1-Inspired Timepiece
Performance. Power. Prestige.

The Apex Racer is a mechanical beast—crafted not just to tell time, but to command it. Its bold, multi-layered steel case is sculpted with diamond-knife precision, wrapped around a skeletonized dial that exposes a twin flywheel movement built for visual drama and raw performance.

At its heart lies a 45-jewel engine, tuned for flawless execution and uncompromising precision. Every rotation, every gear is a statement—of craftsmanship, of complexity, of power in motion. Luminous numerals ignite the display, while the race-inspired silicone strap ensures comfort at high speed.

This isn’t just a timepiece. It’s a fusion of motorsport adrenaline and haute horology.
Crafted for the fearless. Worn by those who live fast, dream big, and own every second.</p><p><strong>Movement:</strong> Shanghai JHLS33-1 mechanical movement ""Thickness: 7.0mm
45 gems
Frequency 21600 times/hour
Stop second function
Automatic/manual loading
Double Flying Wheel</p><p><strong>Water Resistance:</strong> 100M (10 ATM)</p>",HANBORO,Apparel & Accessories > Jewelry > Watches,Watches,"LUXURY, Automatic, Skeleton, HBR-985-AUTO-APEX-RG-BLK",TRUE,Title,Default Title,HBR-985-AUTO-APEX-RG-BLK,250,shopify,10,continue,manual,47999,59999,TRUE,TRUE,HBR-985-AUTO-APEX-RG-BLK,https://hanborowatches.in/catalog/hbr-985-auto-apex-rg-blk-front.png,1,active
